"roomid","timestr","dtype","category","tag","current"
"东陈集机房","2024-07-19-22","HOUR","VECTOR","TOTAL","33.8532"
"东陈集机房","2024-07-19-23","HOUR","POINT","A","34.4234"
"东陈集机房","2024-07-19-23","HOUR","POINT","B","33.4868"
"东陈集机房","2024-07-19-23","HOUR","POINT","F","23.0664"
"东陈集机房","2024-07-19-23","HOUR","POINT","G","0"
"东陈集机房","2024-07-19-23","HOUR","VECTOR","BUSINESS","0.93661"
"东陈集机房","2024-07-19-23","HOUR","VECTOR","DEVICE","23.0664"
"东陈集机房","2024-07-19-23","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-19-23","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-19-23","HOUR","VECTOR","PRODUCT","33.4868"
"东陈集机房","2024-07-19-23","HOUR","VECTOR","PUE","1.45175"
"东陈集机房","2024-07-19-23","HOUR","VECTOR","TOTAL","34.4234"
"东陈集机房","2024-07-20","DAY","VECTOR","BUSINESS","2.54026"
"东陈集机房","2024-07-20","DAY","VECTOR","DEVICE","22.7519"
"东陈集机房","2024-07-20","DAY","VECTOR","LEASE","0"
"东陈集机房","2024-07-20","DAY","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20","DAY","VECTOR","PRODUCT","33.1317"
"东陈集机房","2024-07-20","DAY","VECTOR","PUE","1.45621"
"东陈集机房","2024-07-20","DAY","VECTOR","TOTAL","35.6719"
"东陈集机房","2024-07-20-00","HOUR","POINT","A","33.8769"
"东陈集机房","2024-07-20-00","HOUR","POINT","B","32.9373"
"东陈集机房","2024-07-20-00","HOUR","POINT","F","23.0461"
"东陈集机房","2024-07-20-00","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-00","HOUR","VECTOR","BUSINESS","0.939661"
"东陈集机房","2024-07-20-00","HOUR","VECTOR","DEVICE","23.0461"
"东陈集机房","2024-07-20-00","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-00","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-00","HOUR","VECTOR","PRODUCT","32.9373"
"东陈集机房","2024-07-20-00","HOUR","VECTOR","PUE","1.42919"
"东陈集机房","2024-07-20-00","HOUR","VECTOR","TOTAL","33.8769"
"东陈集机房","2024-07-20-01","HOUR","POINT","A","34.3"
"东陈集机房","2024-07-20-01","HOUR","POINT","B","33.3641"
"东陈集机房","2024-07-20-01","HOUR","POINT","F","23.1146"
"东陈集机房","2024-07-20-01","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-01","HOUR","VECTOR","BUSINESS","0.935932"
"东陈集机房","2024-07-20-01","HOUR","VECTOR","DEVICE","23.1146"
"东陈集机房","2024-07-20-01","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-01","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-01","HOUR","VECTOR","PRODUCT","33.3641"
"东陈集机房","2024-07-20-01","HOUR","VECTOR","PUE","1.44342"
"东陈集机房","2024-07-20-01","HOUR","VECTOR","TOTAL","34.3"
"东陈集机房","2024-07-20-02","HOUR","POINT","A","33.401"
"东陈集机房","2024-07-20-02","HOUR","POINT","B","32.4695"
"东陈集机房","2024-07-20-02","HOUR","POINT","F","23.0834"
"东陈集机房","2024-07-20-02","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-02","HOUR","VECTOR","BUSINESS","0.931525"
"东陈集机房","2024-07-20-02","HOUR","VECTOR","DEVICE","23.0834"
"东陈集机房","2024-07-20-02","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-02","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-02","HOUR","VECTOR","PRODUCT","32.4695"
"东陈集机房","2024-07-20-02","HOUR","VECTOR","PUE","1.40662"
"东陈集机房","2024-07-20-02","HOUR","VECTOR","TOTAL","33.401"
"东陈集机房","2024-07-20-03","HOUR","POINT","A","33.7363"
"东陈集机房","2024-07-20-03","HOUR","POINT","B","32.8"
"东陈集机房","2024-07-20-03","HOUR","POINT","F","22.9969"
"东陈集机房","2024-07-20-03","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-03","HOUR","VECTOR","BUSINESS","0.936271"
"东陈集机房","2024-07-20-03","HOUR","VECTOR","DEVICE","22.9969"
"东陈集机房","2024-07-20-03","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-03","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-03","HOUR","VECTOR","PRODUCT","32.8"
"东陈集机房","2024-07-20-03","HOUR","VECTOR","PUE","1.42628"
"东陈集机房","2024-07-20-03","HOUR","VECTOR","TOTAL","33.7363"
"东陈集机房","2024-07-20-04","HOUR","POINT","A","33.3407"
"东陈集机房","2024-07-20-04","HOUR","POINT","B","32.3959"
"东陈集机房","2024-07-20-04","HOUR","POINT","F","23.0753"
"东陈集机房","2024-07-20-04","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-04","HOUR","VECTOR","BUSINESS","0.944746"
"东陈集机房","2024-07-20-04","HOUR","VECTOR","DEVICE","23.0753"
"东陈集机房","2024-07-20-04","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-04","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-04","HOUR","VECTOR","PRODUCT","32.3959"
"东陈集机房","2024-07-20-04","HOUR","VECTOR","PUE","1.40393"
"东陈集机房","2024-07-20-04","HOUR","VECTOR","TOTAL","33.3407"
"东陈集机房","2024-07-20-05","HOUR","POINT","A","33.257"
"东陈集机房","2024-07-20-05","HOUR","POINT","B","32.3275"
"东陈集机房","2024-07-20-05","HOUR","POINT","F","22.9553"
"东陈集机房","2024-07-20-05","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-05","HOUR","VECTOR","BUSINESS","0.929492"
"东陈集机房","2024-07-20-05","HOUR","VECTOR","DEVICE","22.9553"
"东陈集机房","2024-07-20-05","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-05","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-05","HOUR","VECTOR","PRODUCT","32.3275"
"东陈集机房","2024-07-20-05","HOUR","VECTOR","PUE","1.40828"
"东陈集机房","2024-07-20-05","HOUR","VECTOR","TOTAL","33.257"
"东陈集机房","2024-07-20-06","HOUR","POINT","A","32.9871"
"东陈集机房","2024-07-20-06","HOUR","POINT","B","31.9715"
"东陈集机房","2024-07-20-06","HOUR","POINT","F","22.7169"
"东陈集机房","2024-07-20-06","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-06","HOUR","VECTOR","BUSINESS","1.01559"
"东陈集机房","2024-07-20-06","HOUR","VECTOR","DEVICE","22.7169"
"东陈集机房","2024-07-20-06","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-06","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-06","HOUR","VECTOR","PRODUCT","31.9715"
"东陈集机房","2024-07-20-06","HOUR","VECTOR","PUE","1.40739"
"东陈集机房","2024-07-20-06","HOUR","VECTOR","TOTAL","32.9871"
"东陈集机房","2024-07-20-07","HOUR","POINT","A","32.8075"
"东陈集机房","2024-07-20-07","HOUR","POINT","B","31.9024"
"东陈集机房","2024-07-20-07","HOUR","POINT","F","22.4525"
"东陈集机房","2024-07-20-07","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-07","HOUR","VECTOR","BUSINESS","0.905085"
"东陈集机房","2024-07-20-07","HOUR","VECTOR","DEVICE","22.4525"
"东陈集机房","2024-07-20-07","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-07","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-07","HOUR","VECTOR","PRODUCT","31.9024"
"东陈集机房","2024-07-20-07","HOUR","VECTOR","PUE","1.42088"
"东陈集机房","2024-07-20-07","HOUR","VECTOR","TOTAL","32.8075"
"东陈集机房","2024-07-20-08","HOUR","POINT","A","33.2095"
"东陈集机房","2024-07-20-08","HOUR","POINT","B","32.2739"
"东陈集机房","2024-07-20-08","HOUR","POINT","F","22.7864"
"东陈集机房","2024-07-20-08","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-08","HOUR","VECTOR","BUSINESS","0.935593"
"东陈集机房","2024-07-20-08","HOUR","VECTOR","DEVICE","22.7864"
"东陈集机房","2024-07-20-08","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-08","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-08","HOUR","VECTOR","PRODUCT","32.2739"
"东陈集机房","2024-07-20-08","HOUR","VECTOR","PUE","1.41636"
"东陈集机房","2024-07-20-08","HOUR","VECTOR","TOTAL","33.2095"
"东陈集机房","2024-07-20-09","HOUR","POINT","A","32.7044"
"东陈集机房","2024-07-20-09","HOUR","POINT","B","31.6183"
"东陈集机房","2024-07-20-09","HOUR","POINT","F","21.8712"
"东陈集机房","2024-07-20-09","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-09","HOUR","VECTOR","BUSINESS","1.0861"
"东陈集机房","2024-07-20-09","HOUR","VECTOR","DEVICE","21.8712"
"东陈集机房","2024-07-20-09","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-09","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-09","HOUR","VECTOR","PRODUCT","31.6183"
"东陈集机房","2024-07-20-09","HOUR","VECTOR","PUE","1.44566"
"东陈集机房","2024-07-20-09","HOUR","VECTOR","TOTAL","32.7044"
"东陈集机房","2024-07-20-10","HOUR","POINT","A","33.3261"
"东陈集机房","2024-07-20-10","HOUR","POINT","B","32.1566"
"东陈集机房","2024-07-20-10","HOUR","POINT","F","21.7715"
"东陈集机房","2024-07-20-10","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-10","HOUR","VECTOR","BUSINESS","1.16949"
"东陈集机房","2024-07-20-10","HOUR","VECTOR","DEVICE","21.7715"
"东陈集机房","2024-07-20-10","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-10","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-10","HOUR","VECTOR","PRODUCT","32.1566"
"东陈集机房","2024-07-20-10","HOUR","VECTOR","PUE","1.477"
"东陈集机房","2024-07-20-10","HOUR","VECTOR","TOTAL","33.3261"
"东陈集机房","2024-07-20-11","HOUR","POINT","A","33.6854"
"东陈集机房","2024-07-20-11","HOUR","POINT","B","32.5332"
